"","id","type","group","liner","special","tramper","tanker","total","HHI","share_liner","share_special","share_tramper","share_tanker"
"49",49,"unmatched","unmatched",0,4163,9020,0,13183,0.56786997779851,0,0.315785481301676,0.684214518698324,0
"50",50,"unmatched","unmatched",0,0,6710,0,6710,1,0,0,1,0
"51",51,"wholly-controlled","Yamashita-Shinnihon Kisen",0,0,0,11844,11844,1,0,0,0,1
"52",52,"unmatched","unmatched",3529,0,8431,0,11960,0.583995159450118,0.295066889632107,0,0.704933110367893,0
"53",53,"unmatched","unmatched",0,0,17215,0,17215,1,0,0,1,0
"54",54,"affiliate","Nippon Yusen",3396,0,0,0,3396,1,1,0,0,0
"55",55,"affiliate","Mitsui O.S.K. Lines",0,0,10971,0,10971,1,0,0,1,0
"56",56,"affiliate","Mitsui O.S.K. Lines",0,0,9807,0,9807,1,0,0,1,0
"57",57,"affiliate","Japan Lines",0,3495,71358,50885,125738,0.486618639430579,0,0.0277958930474479,0.567513400881197,0.404690706071355
"58",58,"affiliate","Kawasaki Kisen Kaisha",0,0,4715,17809,22524,0.668975461080824,0,0,0.209332267803232,0.790667732196768
"59",59,"affiliate","Kawasaki Kisen Kaisha",0,0,14554,0,14554,1,0,0,1,0
"60",60,"affiliate","Kawasaki Kisen Kaisha",0,0,17486,1570,19056,0.848798314006321,0,0,0.917611251049538,0.0823887489504618
"61",61,"affiliate","Kawasaki Kisen Kaisha",0,13726,36137,25013,74876,0.378126819335407,0,0.183316416475239,0.482624606015279,0.334058977509482
"62",62,"affiliate","Kawasaki Kisen Kaisha",0,1937,4840,0,6777,0.59174641533005,0,0.285819684226059,0.714180315773941,0
"63",63,"affiliate","Kawasaki Kisen Kaisha",0,0,0,25076,25076,1,0,0,0,1
"64",64,"affiliate","Kawasaki Kisen Kaisha",0,6843,11408,0,18251,0.531280827828121,0,0.374938359541943,0.625061640458057,0
"65",65,"affiliate","Kawasaki Kisen Kaisha",29448,0,139457,0,168905,0.712100370056254,0.174346526153755,0,0.825653473846245,0
"66",66,"wholly-controlled","Mitsui O.S.K. Lines",0,34148,19701,0,53849,0.535989023632259,0,0.634143623837026,0.365856376162974,0
"67",67,"wholly-controlled","Mitsui O.S.K. Lines",0,0,49143,0,49143,1,0,0,1,0
"68",68,"wholly-controlled","Mitsui O.S.K. Lines",0,0,23667,0,23667,1,0,0,1,0
"69",69,"wholly-controlled","Mitsui O.S.K. Lines",0,7594,26625,0,34219,0.654653087717108,0,0.2219234927964,0.7780765072036,0
"70",70,"wholly-controlled","Mitsui O.S.K. Lines",0,8650,72346,47417,128413,0.458288938126458,0,0.0673607812293148,0.563385327030752,0.369253891739933
"71",71,"wholly-controlled","Mitsui O.S.K. Lines",5490,0,21015,0,26505,0.671544818560998,0.207130730050934,0,0.792869269949066,0
"72",72,"wholly-controlled","Mitsui O.S.K. Lines",0,12914,0,0,12914,1,0,1,0,0
"73",73,"wholly-controlled","Nippon Yusen",60706,6399,0,28604,95709,0.496097046133639,0.634276818272054,0.066858916089396,0,0.29886426563855
"74",74,"wholly-controlled","Nippon Yusen",0,0,52759,0,52759,1,0,0,1,0
"75",75,"wholly-controlled","Mitsui O.S.K. Lines",50142,4027,0,0,54169,0.862370465398725,0.925658587014713,0.0743414129852868,0,0
"76",76,"wholly-controlled","Kawasaki Kisen Kaisha",0,0,51352,61564,112916,0.504089598251782,0,0,0.454780544829785,0.545219455170215
"77",77,"wholly-controlled","Kawasaki Kisen Kaisha",0,18666,40624,0,59290,0.568579239559957,0,0.314825434305954,0.685174565694046,0
"78",78,"wholly-controlled","Japan Lines",10211,29421,0,0,39632,0.617471565257454,0.257645337101332,0.742354662898668,0,0
"79",79,"affiliate","Yamashita-Shinnihon Kisen",0,29354,95318,0,124672,0.639973595128401,0,0.235449820328542,0.764550179671458,0
"80",80,"wholly-controlled","Yamashita-Shinnihon Kisen",0,5738,0,49251,54989,0.813080784914701,0,0.104348142355744,0,0.895651857644256
"81",81,"unmatched","unmatched",0,86476,0,0,86476,1,0,1,0,0
"82",82,"wholly-controlled","Nippon Yusen",0,0,23304,0,23304,1,0,0,1,0
"83",83,"wholly-controlled","Nippon Yusen",0,0,13607,0,13607,1,0,0,1,0
"84",84,"wholly-controlled","Nippon Yusen",0,0,479,0,479,1,0,0,1,0
"85",85,"wholly-controlled","Nippon Yusen",0,0,31497,4817,36314,0.769894153164606,0,0,0.867351434708377,0.132648565291623
"86",86,"wholly-controlled","Nippon Yusen",0,0,3739,0,3739,1,0,0,1,0
"87",87,"wholly-controlled","Mitsui O.S.K. Lines",0,0,22599,0,22599,1,0,0,1,0
"88",88,"wholly-controlled","Mitsui O.S.K. Lines",0,0,15763,0,15763,1,0,0,1,0
"89",89,"wholly-controlled","Mitsui O.S.K. Lines",0,0,3765,0,3765,1,0,0,1,0
"90",90,"wholly-controlled","Mitsui O.S.K. Lines",0,0,9536,503,10039,0.904811756115489,0,0,0.949895407909154,0.0501045920908457
"91",91,"wholly-controlled","Mitsui O.S.K. Lines",0,0,7454,0,7454,1,0,0,1,0
"92",94,"wholly-controlled","Mitsui O.S.K. Lines",0,0,5640,0,5640,1,0,0,1,0
"93",96,"wholly-controlled","Japan Lines",0,0,27172,0,27172,1,0,0,1,0
"94",97,"wholly-controlled","Mitsui O.S.K. Lines",0,0,10612,0,10612,1,0,0,1,0
"95",98,"wholly-controlled","Mitsui O.S.K. Lines",0,0,16663,0,16663,1,0,0,1,0
"96",100,"wholly-controlled","Mitsui O.S.K. Lines",0,0,42917,0,42917,1,0,0,1,0
"97",101,"wholly-controlled","Mitsui O.S.K. Lines",0,0,15238,0,15238,1,0,0,1,0
"98",102,"wholly-controlled","Mitsui O.S.K. Lines",0,0,18260,0,18260,1,0,0,1,0
"99",103,"wholly-controlled","Mitsui O.S.K. Lines",0,0,1998,0,1998,1,0,0,1,0
"100",106,"wholly-controlled","Japan Lines",0,0,9000,0,9000,1,0,0,1,0
"101",107,"wholly-controlled","Japan Lines",0,0,3833,0,3833,1,0,0,1,0
"102",108,"wholly-controlled","Kawasaki Kisen Kaisha",0,0,24820,0,24820,1,0,0,1,0
"103",109,"wholly-controlled","Kawasaki Kisen Kaisha",0,0,6570,0,6570,1,0,0,1,0
"104",110,"wholly-controlled","Kawasaki Kisen Kaisha",0,0,29244,0,29244,1,0,0,1,0
"105",111,"wholly-controlled","Kawasaki Kisen Kaisha",0,13617,35725,0,49342,0.600377278880875,0,0.275971788739816,0.724028211260184,0
"106",112,"wholly-controlled","Kawasaki Kisen Kaisha",0,0,6500,0,6500,1,0,0,1,0
"107",115,"wholly-controlled","Yamashita-Shinnihon Kisen",0,0,20138,0,20138,1,0,0,1,0
"108",116,"wholly-controlled","Yamashita-Shinnihon Kisen",0,0,4946,0,4946,1,0,0,1,0
"109",117,"wholly-controlled","Yamashita-Shinnihon Kisen",0,0,5582,0,5582,1,0,0,1,0
"110",118,"wholly-controlled","Yamashita-Shinnihon Kisen",4532,0,0,0,4532,1,1,0,0,0
"111",119,"wholly-controlled","Yamashita-Shinnihon Kisen",0,0,0,21232,21232,1,0,0,0,1
"112",120,"wholly-controlled","Yamashita-Shinnihon Kisen",0,0,14592,0,14592,1,0,0,1,0
"113",121,"wholly-controlled","Yamashita-Shinnihon Kisen",0,0,18019,0,18019,1,0,0,1,0
"114",123,"wholly-controlled","Yamashita-Shinnihon Kisen",0,0,8121,0,8121,1,0,0,1,0
"115",124,"wholly-controlled","Showa Line",0,0,2428,0,2428,1,0,0,1,0
"116",125,"wholly-controlled","Showa Line",0,0,2235,0,2235,1,0,0,1,0
"117",126,"wholly-controlled","Showa Line",0,0,0,11844,11844,1,0,0,0,1
"118",127,"wholly-controlled","Showa Line",0,0,10631,0,10631,1,0,0,1,0
