firm_id,name,liner,special,tramper,tanker,D/W,Source,group,富士,興銀,長銀,安田,第一,三井,三井信託,住友,住友信託,三菱,勧銀,三菱信託,神戸,大和,三和,東海,安田信託,その他,firm_type
35,近海船舶,0,0,5858,0,NA,NA,unmatched,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,unmatched
36,協成汽船,36640,0,12420,0,NA,NA,unmatched,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,unmatched
37,丸善海運,0,0,0,54166,NA,NA,unmatched,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,unmatched
38,日本輸出入,0,0,0,26034,NA,NA,unmatched,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,unmatched
39,日本冷蔵,0,0,3615,0,NA,NA,unmatched,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,unmatched
40,日本水産,0,0,0,42152,NA,NA,unmatched,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,unmatched
41,日水海運,0,32068,11455,0,NA,NA,unmatched,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,unmatched
42,大阪造船所,0,0,12196,0,NA,NA,unmatched,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,unmatched
43,沢山汽船,0,0,17779,0,NA,NA,Mitsui O.S.K. Lines,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,affiliate
44,三光汽船,0,0,25982,50062,NA,NA,unmatched,NA,NA,1,NA,NA,1,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,unmatched
45,正福汽船,3715,0,3701,0,NA,NA,unmatched,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,unmatched
46,昭和油槽船,0,0,0,3438,NA,NA,unmatched,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,unmatched
47,大洋漁業,0,0,0,24067,NA,NA,unmatched,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,unmatched
48,東京タンカー,0,0,0,151001,NA,NA,unmatched,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,unmatched
49,東和汽船,0,4163,9020,0,NA,NA,unmatched,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,unmatched
50,東京海事,0,0,6710,0,NA,NA,unmatched,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,unmatched
51,東亜汽船,0,0,0,11844,NA,NA,Yamashita-Shinnihon Kisen,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,single-relationship
52,新東海運,3529,0,8431,0,NA,NA,unmatched,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,unmatched
53,東興海運,0,0,17215,0,NA,NA,unmatched,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,unmatched
54,反田産業汽船,3396,0,0,0,NA,NA,Nippon Yusen,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,affiliate
55,日本移住船,0,0,10971,0,NA,NA,Mitsui O.S.K. Lines,10971,貨物船は定期にするのは現実的という説明が必要,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,affiliate
56,富士汽船,0,0,9807,0,NA,NA,Mitsui O.S.K. Lines,1,1,1,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,affiliate
57,日新興業,0,3495,71358,50885,NA,NA,Japan Lines,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,affiliate
58,日本汽船,0,0,4715,17809,NA,NA,Kawasaki Kisen Kaisha,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,affiliate
59,五洋汽船,0,0,14554,0,NA,NA,Kawasaki Kisen Kaisha,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,affiliate
60,扶桑海運,0,0,17486,1570,NA,NA,Kawasaki Kisen Kaisha,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,affiliate
61,神戸汽船,0,13726,36137,25013,NA,NA,Kawasaki Kisen Kaisha,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,affiliate
62,神戸桟橋,0,1937,4840,0,NA,NA,Kawasaki Kisen Kaisha,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,affiliate
63,平和汽船,0,0,0,25076,NA,NA,Kawasaki Kisen Kaisha,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,affiliate
64,旭汽船,0,6843,11408,0,NA,NA,Kawasaki Kisen Kaisha,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,affiliate
65,飯野海運,29448,0,139457,0,NA,NA,Kawasaki Kisen Kaisha,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,affiliate
66,乾汽船,0,34148,19701,0,NA,NA,Mitsui O.S.K. Lines,NA,1,1,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,single-relationship
67,協立汽船,0,NA,49143,0,NA,NA,Mitsui O.S.K. Lines,1,1,1,NA,1,1,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,single-relationship
68,第二協立汽船,0,NA,23667,0,NA,NA,Mitsui O.S.K. Lines,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,single-relationship
69,東洋海運,0,7594,26625,0,NA,NA,Mitsui O.S.K. Lines,NA,1,1,NA,NA,1,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,single-relationship
70,明治海運,0,8650,72346,47417,NA,NA,Mitsui O.S.K. Lines,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,single-relationship
71,大光商船,5490,NA,21015,0,NA,NA,Mitsui O.S.K. Lines,1,NA,NA,NA,NA,1,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,北国,single-relationship
72,旧大安商船,0,12914,0,0,NA,NA,Mitsui O.S.K. Lines,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,single-relationship
73,岡田商船,60706,6399,0,28604,NA,NA,Nippon Yusen,1,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,協和,single-relationship
74,八馬汽船,0,NA,52759,0,NA,NA,Nippon Yusen,NA,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,single-relationship
75,日本海汽船,50142,4027,0,0,NA,NA,Mitsui O.S.K. Lines,1,1,1,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,single-relationship
76,太洋海運,0,NA,51352,61564,NA,NA,Kawasaki Kisen Kaisha,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,single-relationship
77,国洋海運,0,18666,40624,0,NA,NA,Kawasaki Kisen Kaisha,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,single-relationship
78,広海汽船,10211,29421,0,0,NA,NA,Japan Lines,1,1,1,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
79,日正汽船,0,29354,95318,0,NA,NA,Yamashita-Shinnihon Kisen,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,affiliate
