firm_id,40firms,source_name,source_data,type,定期船（G/T）,専用船,不定期船,油槽船,D/W,海運企業集約資料より,一般貨物船・貨客船,専用船,油槽船,総運航船腹(not sum),group,major stockholder,富士,興銀,長銀,安田,第一,三井,三井信託,住友,住友信託,三菱,勧銀,三菱信託,神戸,大和,三和,東海,安田信託,その他
37,丸善海運,『s38外航船運航業者』,S39でグループ外,グループ外,0,0,0,54166,,,,,,,unmatched,,,,,,,,,,,,,,,,,,,
38,日本輸出入,『s38外航船運航業者』,,グループ外,0,0,0,26034,,,,,,,unmatched,,,,,,,,,,,,,,,,,,,
39,日本冷蔵,『s38外航船運航業者』,,グループ外,0,0,3615,0,,,,,,,unmatched,,,,,,,,,,,,,,,,,,,
40,日本水産,『s38外航船運航業者』,S39でグループ外,グループ外,0,0,0,42152,,,,,,,unmatched,,,,,,,,,,,,,,,,,,,
41,日水海運,『s38外航船運航業者』,S39でグループ外,グループ外,0,32068,11455,0,,,,,,,unmatched,,,,,,,,,,,,,,,,,,,
42,大阪造船所,『s38外航船運航業者』,S39でグループ外,グループ外,0,0,12196,0,,,,,,,unmatched,,,,,,,,,,,,,,,,,,,
43,沢山汽船,『s38外航船運航業者』,29,系列会社,0,0,17779,0,,,,,,,Mitsui O.S.K. Lines,,,,,,,,,,,,,,,,,,,
44,三光汽船,『s38外航船運航業者』,S39でグループ外,グループ外,0,0,25982,50062,,,,,,,unmatched,,,,1,,,1,,1,,,,,,1,,,,
45,正福汽船,『s38外航船運航業者』,S39でグループ外,グループ外,3715,0,3701,0,,,,,,,unmatched,,,,,,,,,,,,,,,,,,,
46,昭和油槽船,『s38外航船運航業者』,S39でグループ外,グループ外,0,0,0,3438,,,,,,,unmatched,,,,,,,,,,,,,,,,,,,
47,大洋漁業,『s38外航船運航業者』,S39でグループ外,グループ外,0,0,0,24067,,,,,,,unmatched,,,,,,,,,,,,,,,,,,,
48,東京タンカー,『s38外航船運航業者』,S39でグループ外,グループ外,0,0,0,151001,,,,,,,unmatched,,,,,,,,,,,,,,,,,,,
49,東和汽船,『s38外航船運航業者』,S39でグループ外,グループ外,0,4163,9020,0,,,,,,,unmatched,,,,,,,,,,,,,,,,,,,
50,東京海事,『s38外航船運航業者』,,グループ外,0,0,6710,0,,,,,,,unmatched,,,,,,,,,,,,,,,,,,,
51,東亜汽船,『s38外航船運航業者』,30,専属会社,0,0,0,11844,,,,,,,Yamashita-Shinnihon Kisen,,,,,,,,,,,,,,,,,,,
52,新東海運,『s39外航船運航業者』,S39でグループ外,グループ外,3529,0,8431,0,,,,,,,unmatched,,,,,,,,,,,,,,,,,,,
53,東興海運,『s39外航船運航業者』,S39でグループ外,グループ外,0,0,17215,0,,,,,,,unmatched,,,,,,,,,,,,,,,,,,,
54,反田産業汽船,『集約資料』の系列会社,http://jpnships.g.dgdg.jp/owner/comp_01292.htm,系列会社,3396,0,0,0,,,,,,,Nippon Yusen,,,,,,,,,,,,,,,,,,,
55,日本移住船,『集約資料』の系列会社,http://jpnships.g.dgdg.jp/owner/comp_01965.htm,系列会社,0,0,10971,0,,,,,,,Mitsui O.S.K. Lines,,10971,貨物船は定期にするのは現実的という説明が必要,,,,,,,,,,,,,,,,
56,富士汽船,s39にdataあり『集約資料』の系列会社,,系列会社,0,0,9807,0,,,,,,,Mitsui O.S.K. Lines,,1,1,1,,,1,1,,,,,,,,,,,
57,日新興業,s40実相とs29外航船で違い,s40実相を採用,系列会社,0,3495,71358,50885,,,,,,,Japan Lines,,1,1,,,,,,,,,,,1,1,,,,
58,日本汽船,『集約資料』の系列会社,http://jpnships.g.dgdg.jp/owner/comp_01015.htm,系列会社,0,0,4715,17809,,,,,,,Kawasaki Kisen Kaisha,,,,,,,,,,,,,,,,,,,
59,五洋汽船,『集約資料』の系列会社,http://jpnships.g.dgdg.jp/owner/comp_02088.htm,系列会社,0,0,14554,0,,,,,,,Kawasaki Kisen Kaisha,,,,,,,,,,,,,,,,,,,
60,扶桑海運,『集約資料』の系列会社,http://jpnships.g.dgdg.jp/owner/comp_00358.htm,系列会社,0,0,17486,1570,,,,,,,Kawasaki Kisen Kaisha,,,,,,,,,,,,,,,,,,,
61,神戸汽船,『集約資料』の系列会社,http://jpnships.g.dgdg.jp/owner/comp_04175.htm,系列会社,0,13726,36137,25013,,,,,,,Kawasaki Kisen Kaisha,,,,,,,,,,,,,,,,,,,
62,神戸桟橋,『集約資料』の系列会社,http://jpnships.g.dgdg.jp/owner/comp_04170.htm,系列会社,0,1937,4840,0,,,,,,,Kawasaki Kisen Kaisha,,,,,,,,,,,,,,,,,,,
63,平和汽船,s40実相にdataあり『集約資料』の系列会社,s39外航船,系列会社,0,0,0,25076,,,,,,,Kawasaki Kisen Kaisha,,,,,,,,,,,,,,,,,,,
64,旭汽船,『集約資料』の系列会社,http://jpnships.g.dgdg.jp/owner/comp_01353.htm,系列会社,0,6843,11408,0,,,,,,,Kawasaki Kisen Kaisha,,,,,,,,,,,,,,,,,,,
65,飯野海運,『集約資料』の系列会社,s39外航船,系列会社,29448,0,139457,0,,,,,,,Kawasaki Kisen Kaisha,,,,,,,,,,,,,,,,,,,
66,乾汽船,s39実相s40実相,『集約資料』の専属会社,専属会社,0,34148,19701,0,,,,,,,Mitsui O.S.K. Lines,,,1,1,,,1,,,,,,,1,,,,,
